INV No.,UPC,ASIN,LPN,CAT,SUB,Location,Condition,Package Size,NOTES,Sold,Current QTY,QTY's,No in Box,Title,Image Link,Sup Order #,Ship date,Shipped By,Order ID
147.0,888414879753,b000mc5gnc,,Kitchen,Bar & Beverage,BN3,BN,S,,1.0,0.0,1.0,1.0,"Black Sheltie - Sports eco-friendly Water Bottle, 21oz (620ml) - 3dRose",https://images-na.ssl-images-amazon.com/images/I/61QLOAG05hL.jpg,,7/7/2024,info.afgretail@gmail.com,
3011.0,SNFKIT-BLK,,,,,WS6-R3-A,BN,Envelope,,,100.0,100.0,1.0,Black Tobacco Pouch Snuff Tool Sniffer Straw Pouch Bag Pipe Case Pill Bottle,https://www.augoods.com.au/assets/thumb/XN-SNFKIT-BLK.jpg,,18/06/2024,,
2837.0,CYC-BLKWID-1PK,,CYC-BLKWID-1PK,SMOKING,,WS3-R6-C,BN,,,,200.0,1000.0,1.0,Black Widow Cyclones Clear Pre-Rolled Rolling Cones Cigarette Flavoured Tip Papers Tobacco,https://www.augoods.com.au/assets/thumb/XN-CYC-BLKWID-1PK.jpg,,,,
1806.0,5054905031008,,LPNPM136834913,Tools,Tools,LN8,LN,L,,,1.0,,3.0,BLACK+DECKER BDCROS18N-XE 18V Lithium-ion Cordless Random Orbital Sander Without Battery and Charger,https://images-na.ssl-images-amazon.com/images/I/51KqeMBDgLL.jpg,NL,,,
1826.0,810125020667,,LPNPM136873816,Electronics,Camera & Photo,LN9,LN,S,,,1.0,,9.0,BlackRapid Street Breathe Camera Strap 361008 Adjustable  SLR Cameras,https://images-na.ssl-images-amazon.com/images/I/31GHGFhHy5L.jpg,NL,,,
2947.0,CYCLONE-CLR-BLU-1PK,,,,,WS8-R2-C,BN,,,,100.0,100.0,1.0,Blue 1 Pack,https://www.augoods.com.au/assets/thumb/MRK-CYCLONE-CLR-BLU-1PK.jpg,,03/06/2024,,
2609.0,COMPGRND-BL,,COMPGRND-BL,SMOKING,,WS4-R7-C,BN,S,,1.0,999.0,1000.0,3.0,Blue Herb Grinder 4 Layers Compartment Smoke Spice Tobacco Metal Crusher,https://www.augoods.com.au/assets/thumb/MRK-COMPGRND-BL.jpg,,31/01/2025,info.afgretail@gmail.com,N77971
2957.0,764608032008-BLU,,,,,R8-B17-S5,BN,,,,10.0,10.0,4.0,Blue Manual Single Hole Puncher Basic Hand Paper Punch Cutter Circle Soft Grip,https://www.augoods.com.au/assets/thumb/JT-764608032008-BLU.jpg,,04/06/2024,,
2600.0,BKW-ELCTGRND-BL,,BKW-ELCTGRND-BL,SMOKING,,WS3-R4-B,BN,S,,,200.0,1000.0,2.0,Blue USB Chargeable Electric Herb and Tobacco Grinder-Portable Crusher Machine,https://www.augoods.com.au/assets/thumb/MRK-BKW-ELCTGRND-BL.jpg,,,,
2073.0,5707055039720,,,,,R3B1S1,LN,S,"BOX IS WORN, ITEM IS BRAND NEW.",,1.0,,4.0,"Bluetooth Headset Jabra Sport Coach Wireless Stereo HD 
Earbuds Headphone Mobile",https://i.ebayimg.com/images/g/G~wAAOSw03VeXOAi/s-l1600.jpg,NL,,,
2027.0,740631160345,B000Y04VJ2,LPNPM100039051,Apparel,Shoes - Men's,R2B4S1,BN,L,,,1.0,,2.0,"Blundstone Unisex-Adult 510 Black Boot, 8.5 AU/UK",https://everythingaustralian.com.au/media/catalog/product/cache/27314bb059d5e1ac29b98e83d3db93db/_/5/_510_tif2.jpg,NL,,,
435.0,43859732814,,,,,BN9,BN,Letter,,1.0,0.0,1.0,1.0,Body Glove Black/Rose Gold Shimmer Case - iPhone X / Xs,https://i.ebayimg.com/images/g/JycAAOSwHZpc5Jag/s-l1600.jpg,,13/7/2024,info.afgretail@gmail.com,
439.0,846237050681,,,,,BN9,BN,Letter,,1.0,0.0,1.0,5.0,"BodyGuardz - Trainr Pro Case, Extreme Impact and Scratch Protection iPhone 6+ / 6s+ / 7+ / 8 Plus (Gray/Mint)",https://images-na.ssl-images-amazon.com/images/I/51JNFEdCWtL._AC_SX522_.jpg,,13/7/2024,info.afgretail@gmail.com,
449.0,846237048404,,,,,BN9,BN,Letter,,1.0,0.0,1.0,15.0,BodyGuardz Ace Pro Phone Case w Unequal Technology for Samsung Galaxy S8+ Plus,https://i.ebayimg.com/images/g/cc4AAOSwO7de4DP0/s-l1600.jpg,,13/7/2024,info.afgretail@gmail.com,
445.0,846237050698,,,,,BN9,BN,Letter,,1.0,0.0,1.0,11.0,"Bodyguardz Cell Phone Case for iPhone 6 Plus, iPhone 6S Plus, iPhone 7 Plus, iPhone 8 Plus - Gray/Mint",https://images-na.ssl-images-amazon.com/images/I/71QJELB0VrL._AC_SL1500_.jpg,,13/7/2024,info.afgretail@gmail.com,
3276.0,9349272003144,,BONGDEX-1PK,,,WS0-R1-B,BN,O,,71.0,9.0,80.0,2.0,BONGDEX - Glass Cleaner Solution 300ml Bong Cleaner Pipe Original AUS MADE,https://www.augoods.com.au/assets/thumb/XN-BONGDEX-1PK.jpg,,27/03/2025,info.afgretail@gmail.com,"N83907,N83908,N83909,N83918,N83919,N83920,N83921,N83922,N83928,N83931,N83944,N83948,N83952,N83954,N83957,N83959,N83960,N83961,N83962,N83964,N83966,N83968,N83978,N83979,N83980,N83984,N83986,N83987,N83989,N83991,N83992,N83994,N84002,N84005,N84007,N84009,N84010,N84014,N84016,N84017,N84018,N84021,N84024,N84025,N84027,N84028,N84031,N84032,N84035,N84037"
1819.0,4053423203028,,LPNPM136790325,Tools,Tools,LN9,LN,S,,,1.0,,2.0,"Bosch Lithium-Ion Battery Pack PBA 18 V (18 Volt, 4.0 Ah, DIY)",https://images-na.ssl-images-amazon.com/images/I/51V3B8DG5VL.jpg,NL,,,
1887.0,3165140883832,,,Home,,R1-B8-S0,BN,O,,1.0,0.0,,999.0,BOSCH UNIVERSAL AQUATAK 135 HIGH PRESSURE WASHER 1900W 135-BAR 1958PSI 7M HOSE,https://www.augoods.com.au/assets/thumb/EPR-1383-3165140883832.jpg,78,08/08/2024,info.afgretail@gmail.com,
958.0,636980670720,B00MAOQZMG,,Electronics,Camera & Photo,BN21,BN,Letter,,1.0,0.0,1.0,31.0,Bower Canon G1X Mark II 58 mm Adapter Tube (Black) ACGM258,https://images-na.ssl-images-amazon.com/images/I/31%2BqW8qkijL.jpg,,24/7/2024,info.afgretail@gmail.com,
983.0,190133139224,b013krzmfm,,Kitchen,,BN22,BN,M,,1.0,0.0,1.0,8.0,"Bowler Design - Two Tone Bowling Mug, 325 ml (11oz) Black/White -3dRose",https://images-na.ssl-images-amazon.com/images/I/71cJD-Sr%2B0L.jpg,,24/7/2024,info.afgretail@gmail.com,
835.0,871513008773,B00W89QNG6,,Sports Exercise & Fitness,Sports Exercise & Fitness,BN17,BN,Letter,,10.0,0.0,10.0,50.0,"Bowling Glove, Black, Large - BSI (316)",https://images-na.ssl-images-amazon.com/images/I/51blNxheKTL.jpg,,10/1/2025,info.afgretail@gmail.com,N75727
2617.0,716165178866,,,SMOKING,,WS5-R3-B,BN,S,,1000.0,0.0,1000.0,2.0,"Box 50 Elements Natural Non-Perforated Filter Tips Smoking Papers,50 Tips/Book",https://www.augoods.com.au/assets/thumb/MRK-ELMNT-NPT-BOX.jpg,,19/02/2025,info.afgretail@gmail.com,
2893.0,ZZ-RCC-BOX,,,,,WS3-R1-A,BN,s,,,20.0,20.0,2.0,Box of 100 ZIG ZAG RED Classic Cut Corners Cigarette Tobacco Paper Papers Roll,https://www.augoods.com.au/assets/thumb/MRK-ZZ-RCC-BOX.jpg,,26/05/2024,,
3055.0,6972764627127,,,,,WS2-R8-A,BN,O,,,4.0,4.0,1.0,Box of 12 Hornet Classic Pre Rolled Tips Filter Roach in Box - 1440 Tips Total,https://www.augoods.com.au/assets/thumb/MRK-HRNT-PRTIPS-120PK-BOX.jpg,,01/07/2024,,
3033.0,9311616035470,,RANCH-BK-12PK,,,WS8-R7-C,BN,O,,16.0,19.0,35.0,1.0,Box of 12 Ranch Deluxe Black Micro Slim Cigarette Filters 12X130-1560 Tips Total,https://www.augoods.com.au/assets/thumb/CG-RANCH-BK-12PK.jpg,,23/03/2025,info.afgretail@gmail.com,"N83321,N83325,N83328,N83332,N83337,N83337,N83340,N83342,N83342,N83344,N83345,N83346,N83347,N83350,N83351,N83354,N83355,N83356,N83357,N83360,N83362,N83363,N83366,N83368,N83371,N83373,N83376,N83379,N83382,N83383,N83387,N83389,N83390,N83391,N83392,N83394,N83395,N83397,N83398,N83402,N83404,N83407,N83408,N83410,N83413,N83413,N83420,N83422,N83424,N83425,N83429,N83431,N83434,N83434,N83436,N83437,N83440,N83447,N83449,N83449,N83452,N83453,N83455,N83456,N83457,N83458,N83459,N83460,N83462,N83464,N83465,N83468,N83471,N83476,N83477,N83485,N83487,N83489,N83490,N83493,N83494,N83495,N83496,N83497,N83498,N83500,N83500,N83501,N83502,N83503,N83504,N83507,N83509,N83511,N83513,N83515,N83516"
2783.0,9311616033629,,RANCH-CTN-12PK,SMOKING,,WS1-R4-A,BN,S,,59.0,941.0,1000.0,2.0,Box of 12 Ranch Long Supa Slim All Natural Cotton Cigarette Filters - Total 960,https://www.augoods.com.au/assets/thumb/XN-RANCH-CTN-12PK.jpg,,21/03/2025,info.afgretail@gmail.com,"N83183,N83191,N83192,N83193,N83194,N83195,N83196,N83205,N83206,N83208,N83211,N83212,N83213,N83217,N83221,N83222,N83225,N83227,N83230,N83234,N83237,N83239,N83240,N83241,N83243,N83244,N83245,N83248,N83250,N83252,N83253,N83256,N83258,N83258,N83258,N83260,N83262,N83264,N83266,N83268,N83269,N83270,N83271,N83272,N83273,N83282,N83284,N83286,N83289,N83290,N83292,N83293,N83296,N83297,N83299,N83302,N83304,N83305,N83305,N83305,N83305,N83308,N83311,N83313,N83315,N83315,N83317,N83318"
3351.0,RANCH-LBLU-12PK,,,,,WS8-R7-C,BN,Envelope,,,45.0,45.0,952.0,"Box of 12 Ranch Supa Slim Light Blue Cigarette Filters, 12X130 - 1560 Tips Total",https://www.augoods.com.au/assets/thumb/CG-RANCH-LBLU-12PK.jpg,,07/01/2025,,
2791.0,716165253778,,RAW-BLK-CL-KSS3MR-BOX,SMOKING,,WS5-R5-A,BN,S,,,200.0,1000.0,2.0,Box of 12 RAW Black Classic King size 3 Meter Rolls Ultra Thin Natural Unrefined,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-CL-KSS3MR-BOX.jpg,,,,
2809.0,716165250456,,RAW-CL-KSS3MRTP-BOX,SMOKING,,WS5-R2-A,BN,S,,,200.0,1000.0,7.0,Box of 12 RAW Classic Natural Unrefined King size Slim 3 Meter Roll and 30 Tips,https://www.augoods.com.au/assets/thumb/XN-RAW-CL-KSS3MRTP-BOX.jpg,,,,
3111.0,19310537106273,,,,,WS0-R3-C,BN,O,,,3.0,3.0,2.0,Box of 12 Ventti Pop A Tip Yellow Slim Filters With Tip Carry Box,https://www.augoods.com.au/assets/thumb/CG-VNTI-PPTIPYLW-12PK.jpg,,25/07/2024,,
3073.0,ZZ-RM70MM-BOX,,,,,WS4-R1-C,BN,O,,,20.0,20.0,3.0,Box of 12 ZIG ZAG Plastic Roll Cigarette Tobacco Machine - 70mm - ZIGZAG,https://www.augoods.com.au/assets/thumb/MRK-ZZ-RM70MM-BOX.jpg,,08/07/2024,,
2802.0,716165201045,,RAW-CL-114-ARTESAN-BOX,SMOKING,,WS5-R2-B,BN,S,,,200.0,1000.0,1.0,"Box of 15 Raw Classic Artesano 1 1/4 Size Slim - Tray, Papers, Tips",https://www.augoods.com.au/assets/thumb/XN-RAW-CL-114-ARTESAN-BOX.jpg,,,,
2805.0,716165200550,,RAW-CL-KS-ARTESANO-BOX,SMOKING,,WS5-R2-B,BN,S,,,200.0,1000.0,4.0,"Box of 15 Raw Classic Artesano King Size Slim - Tray, Papers, Tips",https://www.augoods.com.au/assets/thumb/XN-RAW-CL-KS-ARTESANO-BOX.jpg,,,,
2737.0,VNTI-MTHLCRSH-16PK,,VNTI-MTHLCRSH-16PK,SMOKING,,WS1-R2-B,BN,S,,,200.0,1000.0,1.0,Box of 16 Ventti Menthol Crush Ultra Slim Filter Tips Paper 100 Tips Per Bag,https://www.augoods.com.au/assets/thumb/MRK-VNTI-MTHLCRSH-16PK.jpg,,,,
2857.0,RAW-HYDSTNE-BOX,,,SMOKING,,WS6-R1-C,BN,s,,,1.0,,1.0,Box of 20 RAW Hydrostone Humidifier Terracotta Moisture Clay Stone Smoke Herb,https://www.augoods.com.au/assets/thumb/XN-RAW-HYDSTNE-BOX.jpg,,16/05/2024,,
2689.0,716165251576,,RAW-BLK-114wTIP-BOX,SMOKING,,WS5-R4-B,BN,,,53.0,947.0,1000.0,3.0,Box of 24 - RAW Black 1 1/4 Extra Fine Natural Papers Connoisseur + Filter Tips,https://www.augoods.com.au/assets/thumb/MRK-RAW-BLK-114wTIP-BOX.jpg,,26/03/2025,info.afgretail@gmail.com,N83889
2704.0,716165250791,,RAW-CL-KSwPRTIP-BOX,SMOKING,,WS4-R3-B,BN,S,,,1000.0,1000.0,4.0,Box of 24 - RAW Natural King Size Slim Papers + Pre Rolled Tips Classic Paper,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-KSwPRTIP-BOX.jpg,,,,
2765.0,6970007240195,,AFGHMP-CL-KSwTIP-BOX,SMOKING,,WS5-R3-B,BN,S,,1.0,999.0,1000.0,4.0,Box of 24 Afghan Hemp King Size Slim Unrefined Rolling Papers With Tips,https://www.augoods.com.au/assets/thumb/XN-AFGHMP-CL-KSwTIP-BOX.jpg,,21/03/2025,info.afgretail@gmail.com,N83233
2763.0,6970007240461,,AFGHMP-CL-114-BOX,SMOKING,,WS5-R3-B,BN,S,,1.0,999.0,1000.0,2.0,Box of 24 Afghan Hemp Unrefined 1 1/4 Size Papers Classic Smoking,https://www.augoods.com.au/assets/thumb/XN-AFGHMP-CL-114-BOX.jpg,,28/03/2025,info.afgretail@gmail.com,N84067
2773.0,716165251002,,GLS-CLR-114-BOX,SMOKING,,WS5-R3-A,BN,S,,1.0,999.0,1000.0,4.0,Box of 24 Glass Clear Rolling Papers 1 1/4 Size Slim Natural Smoking,https://www.augoods.com.au/assets/thumb/XN-GLS-CLR-114-BOX.jpg,,06/02/2025,info.afgretail@gmail.com,N78609
2775.0,716165171263,,GLS-CLR-KS-BOX,SMOKING,,WS7-R2-B,BN,S,,9.0,991.0,1000.0,2.0,Box of 24 Glass Clear Rolling Papers King Size Slim Natural Smoking,https://www.augoods.com.au/assets/thumb/XN-GLS-CLR-KS-BOX.jpg,,20/02/2025,info.afgretail@gmail.com,N80091
2646.0,6958189720322,,11005,SMOKING,,WS3-R5-C,BN,S,,2.0,998.0,1000.0,4.0,Box of 24 Hornet King Size Slim Organic Unrefined Rolling Papers With Tips,https://www.augoods.com.au/assets/thumb/MRK-HRNT-OH-KSSwTIP-BOX.jpg,,25/02/2025,info.afgretail@gmail.com,N80552
2641.0,HRNT-KSS5MR-BOX,,HRNT-KSS5MR-BOX,SMOKING,,WS3-R5-B,BN,S,,,200.0,1000.0,1.0,Box of 24 Hornet Organic Natural Unrefined Kingsize 5 Meter Rolls,https://www.augoods.com.au/assets/thumb/MRK-HRNT-KSS5MR-BOX.jpg,,,,
2695.0,716165177326,,RAW-CL-114-BOX,SMOKING,,WS4-R3-C,BN,,,91.0,909.0,1000.0,2.0,Box of 24 RAW Classic 1 1/4 Papers Smoking Cigarette Tobacco Paper,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-114-BOX.jpg,,12/03/2025,info.afgretail@gmail.com,N82162
2697.0,716165176114,,RAW-CL-114wT-BOX,SMOKING,,WS4-R4-A,BN,S,,120.0,880.0,1000.0,1.0,Box of 24 RAW Classic 1 1/4 Papers with Tips Smoking Cigarette Tobacco Paper,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-114wT-BOX.jpg,,29/03/2025,info.afgretail@gmail.com,"N84168,N84171,N84173,N84176,N84177,N84178,N84181,N84186,N84188,N84189,N84190,N84193,N84194,N84195,N84202,N84208,N84210,N84217,N84218,N84221,N84226,N84229,N84233,N84235"
2892.0,716165174028,,,,,WS4-R4-B,BN,s,,,100.0,100.0,2.0,Box of 24 RAW Classic King Size Slim with Tips Natural Papers Smoking Tobacco,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-KSSwTIP-BOX.png,,26/05/2024,,
2819.0,716165200253,,RAW-PGT-BOX,SMOKING,,WS5-R2-A,BN,S,,1.0,1000.0,1001.0,3983.0,Box of 24 RAW Gummed Natural Perforated Filter Tips Smoking Papers,https://www.augoods.com.au/assets/thumb/XN-RAW-PGT-BOX.jpg,,,,
2712.0,716165176138,,RAW-OH-114wTIP-BOX,SMOKING,,WS4-R5-A,BN,S,,42.0,958.0,1000.0,2.0,Box of 24 RAW Organic Hemp 1 1/4 Papers Tips Smoking Cigarette Tobacco Paper,https://www.augoods.com.au/assets/thumb/MRK-RAW-OH-114wTIP-BOX.jpg,,24/03/2025,info.afgretail@gmail.com,N83593
3377.0,JCYJAY-HMP-DRD-BOX,,,,,WS8-R1-C,BN,O,,,3.0,3.0,308.0,Box of 25 Juicy Jays Eldorado Flavour Natural Wraps Paper Smoking Herbs,https://www.augoods.com.au/assets/thumb/MRK-JCYJAY-HMP-DRD-BOX.jpg,,02/02/2025,,
3122.0,JCYJAY-HMP-ORG-BOX,,,,,WS8-R1-B,BN,O,,,100.0,100.0,3.0,Box of 25 Juicy Jays Original Flavour Natural Wraps Paper Smoking Herbs,https://www.augoods.com.au/assets/thumb/MRK-JCYJAY-HMP-ORG-BOX.jpg,,28/07/2024,,
3277.0,JCYJAY-HMP-PRP-BOX,,,,,WS8-R1-B,BN,O,,,9.0,9.0,5.0,Box of 25 Juicy Jays Purple Flavour Natural Wraps Paper Smoking Herbs,https://www.augoods.com.au/assets/thumb/MRK-JCYJAY-HMP-PRP-BOX.jpg,,20/10/2024,,
3395.0,JCYJAY-HMP-RDSTRM-BOX,,,,,WS8-R3-C,BN,O,,,2.0,2.0,872.0,Box of 25 Juicy Jays Red Storm Flavour Natural Wraps Paper Smoking Herbs,https://www.augoods.com.au/assets/thumb/XN-JCYJAY-HMP-RDSTRM-BOX.jpg,,16/03/2025,,
2782.0,3057068137251,,3EBT5031,SMOKING,,WS3-R3-B,BN,S,,7.0,993.0,1000.0,5.0,Box of 25 OCB Perforated Tips Natural Paper Filter Smoking Tobacco,https://www.augoods.com.au/assets/thumb/XN-OCB-PT-BOX.jpg,,09/02/2025,info.afgretail@gmail.com,N78838
3049.0,3057067096252,,2EBT2321,,,WS3-R3-C,BN,Envelope,,2.0,2.0,4.0,3.0,Box of 25 OCB Premium Black Double Papers Regular Size Cigarette Roll Paper,https://www.augoods.com.au/assets/thumb/CG-OCB-DBLPB-BOX.jpg,,08/09/2024,info.afgretail@gmail.com,N61724
2978.0,3057067101253,,2EBT2311,,,WS3-R3-B,BN,Envelope,,8.0,92.0,100.0,8.0,Box of 25 OCB Premium Black Papers 1 1/4 Size Cigarette Roll Paper,https://www.augoods.com.au/assets/thumb/CG-OCB-114-BOX.jpg,,25/03/2025,info.afgretail@gmail.com,N83686
2730.0,716165174240,,RAW-SWDCL-BOX,SMOKING,,WS4-R4-C,BN,S,,14.0,986.0,1000.0,5.0,Box of 25 RAW Classic Single Wide Paper Double Natural Smoking Tobacco,https://www.augoods.com.au/assets/thumb/MRK-RAW-SWDCL-BOX.jpg,,18/03/2025,info.afgretail@gmail.com,N82896
2756.0,3057067048251,,ZZ-DBLBREG-25BOX,SMOKING,,WS3-R2-B,BN,S,,,200.0,1000.0,1.0,Box of 25 ZIG ZAG Regular Size Slim Blue Double Papers Cigarette,https://www.augoods.com.au/assets/thumb/MRK-ZZ-DBLBREG-25BOX.jpg,,,,
2656.0,3057067331322,,2EBT2593,SMOKING,,WS3-R3-C,BN,S,,29.0,971.0,1000.0,1.0,Box of 32 OCB KING SIZE Ultra Thin Premium Papers with Filter Tips Roll Paper,https://www.augoods.com.au/assets/thumb/MRK-OCB-KSUTwTIP-BOX.jpg,,26/03/2025,info.afgretail@gmail.com,"N83763,N83804,N83809,N83810,N83812,N83817,N83819,N83821,N83822,N83823,N83824,N83825,N83831,N83840,N83841,N83842,N83843,N83845,N83846,N83848,N83849,N83851,N83852,N83855,N83858,N83859,N83860,N83862,N83863,N83866,N83867,N83868,N83869,N83872,N83875,N83878,N83886"
2948.0,RAW-CL-114CN-6U-BOX,,,,,WS0-R0,BN,s,,,50.0,50.0,1.0,Box of 32 Raw Classic Natural Unrefined 1 1/4 Pre Rolled Paper Cones 6 Per Pack,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-114CN-6U-BOX.jpg,,03/06/2024,,
3094.0,RAW-OH-KSCN-3U-BOX,,,,,WS0-R4-C,BN,O,,,20.0,20.0,1.0,Box of 32 Raw Organic Hemp Natural Unrefined King Size Pre Rolled Paper Cones,https://www.augoods.com.au/assets/thumb/MRK-RAW-OH-KSCN-3U-BOX.jpg,,16/07/2024,,
2707.0,716165250166,,RAW-HW3M-BOX,SMOKING,,WS4-R3-A,BN,S,,5.0,995.0,1000.0,2.0,Box of 40 RAW Hemp Wick 3m Natural Unbleached Hemp & Beeswax Roll 10ft Rolls,https://www.augoods.com.au/assets/thumb/MRK-RAW-HW3M-BOX.jpg,,12/02/2025,info.afgretail@gmail.com,N79218
2642.0,HRNT-OH-114-BOX,,HRNT-OH-114-BOX,SMOKING,,WS3-R5-B,BN,S,,,200.0,1000.0,2.0,Box of 50 Hornet 1 1/4 Size Size Organic Unrefined Rolling Papers,https://www.augoods.com.au/assets/thumb/MRK-HRNT-OH-114-BOX.jpg,,,,
2644.0,6958189720285,,11003,SMOKING,,WS3-R5-C,BN,S,,18.0,981.0,999.0,2.0,Box of 50 Hornet King Size Slim Organic Unrefined Rolling Papers,https://www.augoods.com.au/assets/thumb/MRK-HRNT-OH-KSS-BOX.jpg,,08/11/2024,info.afgretail@gmail.com,N68452
2647.0,6958189720063,,70101,SMOKING,,WS3-R5-B,BN,S,,1.0,999.0,1000.0,3.0,Box of 50 Hornet Regular Size Size Organic Unrefined Rolling Papers,https://www.augoods.com.au/assets/thumb/MRK-HRNT-OH-NS-BOX.jpg,,19/08/2024,info.afgretail@gmail.com,N59753
3385.0,PURHMP-KSRP-BOX,,,,,WS3-R2-C,BN,O,,,20.0,20.0,1323.0,Box of 50 Pure Hemp King Size Rolling Papers Tobacco Smoking,https://www.augoods.com.au/assets/thumb/MRK-PURHMP-KSRP-BOX.jpg,,27/02/2025,,
2669.0,8414775011253,,PURHMP-RP-BOX,SMOKING,,WS3-R2-C,BN,S,,92.0,908.0,1000.0,2.0,Box of 50 Pure Hemp Regular Size Rolling Papers Tobacco Smoking,https://www.augoods.com.au/assets/thumb/MRK-PURHMP-RP-BOX.jpg,,27/03/2025,info.afgretail@gmail.com,N83982
2693.0,716165250326,,716165250326,SMOKING,,WS5-R4-B,BN,,,30.0,970.0,1000.0,4.0,Box of 50 RAW Black King Size Slim Classic Hemp Natural Unrefined Papers,https://www.augoods.com.au/assets/thumb/MRK-RAW-BLK-KSS-BOX.jpg,,25/03/2025,info.afgretail@gmail.com,N83760
2798.0,716165251606,,RAW-BLK-OT-BOX,SMOKING,,WS5-R4-C,BN,S,,6.0,994.0,1000.0,5.0,Box of 50 RAW Black Original Tips Natural Paper Filter Smoking Tobacco,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-OT-BOX.jpg,,24/02/2025,info.afgretail@gmail.com,"N80258,N80378,N80401,N80405,N80406,N80407,N80408,N80409,N80413,N80414,N80415,N80422,N80423,N80423,N80424,N80428,N80429,N80431,N80433,N80435,N80436,N80441,N80451,N80452,N80454,N80455,N80456,N80457,N80460,N80463,N80465,N80466,N80467,N80472,N80477,N80480,N80482,N80483,N80484,N80486,N80488,N80490,N80491,N80492,N80495,N80496,N80500,N80502,N80504,N80506,N80507,N80509,N80510,N80514,N80515,N80517"
2796.0,716165252450,,RAW-BLK-OH-KS-BOX,SMOKING,,WS5-R5-C,BN,S,,11.0,989.0,1000.0,4.0,Box of 50 RAW Black Ultra Thin KING SIZE Papers Organic Hemp Smoking,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-OH-KS-BOX.jpg,,13/02/2025,info.afgretail@gmail.com,N79312
2801.0,716165251583,,RAW-BLK-SWCL-BOX,SMOKING,,WS5-R4-B,BN,,,10.0,990.0,1000.0,9.0,Box of 50 RAW Black Ultra Thin Single Wide CLASSIC Natural Paper Smoking,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-SWCL-BOX.jpg,,27/03/2025,info.afgretail@gmail.com,N83967
2970.0,RAW-CL-KSS-BOX,,716165177364,,,WS4-R4-B,BN,,,113.0,344.0,457.0,4292.0,Box of 50 RAW King Size Slim Classic Natural Unrefined Papers Smoking Paper,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-KSS-BOX.jpg,,,,
2718.0,716165177401,,RAW-OT-BOX,SMOKING,,WS4-R3-C,BN,S,,173.0,827.0,1000.0,4.0,Box of 50 RAW Original Tips Natural Paper Filter Smoking Tobacco Tip,https://www.augoods.com.au/assets/thumb/MRK-RAW-OT-BOX.jpg,,26/03/2025,info.afgretail@gmail.com,N83856
2728.0,716165173670,,RAW-SWCL-BOX,SMOKING,,WS4-R4-C,BN,S,,64.0,936.0,1000.0,3.0,Box of 50 RAW Single Wide CLASSIC Natural Paper Smoking Tobacco Leaf,https://www.augoods.com.au/assets/thumb/MRK-RAW-SWCL-BOX.jpg,,29/03/2025,info.afgretail@gmail.com,N84211
2723.0,716165177562,,RAW-PWT-BOX,SMOKING,,WS4-R5-C,BN,S,,79.0,921.0,1000.0,4.0,Box of 50 RAW Wide Natural Perforated Filter Tips Smoking Paper 50 Tips Per Book,https://www.augoods.com.au/assets/thumb/MRK-RAW-PWT-BOX.jpg,,20/03/2025,info.afgretail@gmail.com,N83074
2733.0,5410133831658,,RIZLA-KS-THINBL-BOX,SMOKING,,WS5-R3-C,BN,S,,,200.0,1000.0,1.0,Box of 50 Rizla King Size Thin Blue Slim Natural Rolling Papers Smoking,https://www.augoods.com.au/assets/thumb/MRK-RIZLA-KS-THINBL-BOX.jpg,,,,
2959.0,ZZ-DBLBREG-50BOX,,,,,WS3-R1-C,BN,s,,7.0,93.0,100.0,3.0,Box of 50 ZIG ZAG Regular Size Blue Double Papers Cigarette-100 Leaves Per Pack,https://www.augoods.com.au/assets/thumb/MRK-ZZ-DBLBREG-50BOX.jpg,,16/07/2024,info.afgretail@gmail.com,
3107.0,3057067088509,,,,,WS3-R2-B,BN,O,,,200.0,3746.0,2.0,Box of 50 ZIG ZAG Regular Size Yellow Double Papers Slow Burning,https://www.augoods.com.au/assets/thumb/MRK-ZZ-DBLYLREG-50BOX.jpg,,24/07/2024,,
2742.0,9310537243322,,2EBT2614,SMOKING,,WS3-R4-C,BN,S,,141.0,859.0,1000.0,1.0,Box of 90 Packs Ventti Original Papers Slow Burn (60 Leaves Per Booklet),https://www.augoods.com.au/assets/thumb/MRK-VNTI-REDPPR-90PK.jpg,,24/03/2025,info.afgretail@gmail.com,
3123.0,6970007240386,,,,,WS0-R4-B,BN,Envelope,,,100.0,100.0,1.0,Box of Afghan Hemp Natural Unrefined 1 1/4 Size Pre Rolled Paper 144 Cones,https://www.augoods.com.au/assets/thumb/XN-AFGHMP-CL-114CN-6U-BOX.jpg,,28/07/2024,,
2876.0,6932773900109,,,,,WS3-R7-A,BN,s,,0.0,1.0,1.0,1.0,Box of HORNET 1 1/4 Size Natural Pre-Rolled Paper Cones 6 x 24 - 144 PCS,https://www.augoods.com.au/assets/thumb/MRK-HORNET-114CN-6U-BOX.jpg,,,,
